date     obs     QUAL
19871201     0.159     1
19871202     0.259     1
19871203     0.316     1
19871204     0.223     1
19871205     0.291     1
19871206     0.367     1
19871207     0.413     1
19871208     1.037     1
19871209     1.663     1
19871210     1.144     1
19871211     0.985     1
19871212     0.927     1
19871213     0.965     1
19871214     1.110     1
19871215     4.947     1
19871216    20.273     1
19871217    21.349     1
19871218    20.620     1
19871219    13.453     1
19871220    13.953     1
19871221    25.474     1
19871222    14.285     1
19871223    10.647     1
19871224   110.634     1
19871225    29.836     1
19871226    14.984     1
19871227    18.593     1
19871228    20.684     1
19871229    15.499     1
19871230    18.921     1
19871231    15.585     1
19880101    12.752     1
19880102    10.791     1
19880103     9.471     1
19880104     8.280     1
19880105     7.339     1
19880106     6.950     1
19880107     6.179     1
19880108     7.400     1
19880109     5.674     1
19880110     6.066     1
19880111     5.501     1
19880112     5.635     1
19880113     5.594     1
19880114     5.121     1
19880115     4.602     1
19880116     4.188     1
19880117     4.153     1
19880118     4.526     1
19880119     4.077     1
19880120     3.519     1
19880121     3.134     1
19880122     2.754     1
19880123     2.741     1
19880124     2.976     1
19880125     2.878     1
19880126     2.641     1
19880127     2.719     1
19880128     2.763     1
19880129     2.401     1
19880130     2.244     1
19880131     2.123     1
19880201     1.923     1
19880202     1.897     1
19880203     1.979     1
19880204     2.096     1
19880205     2.468     1
19880206     2.812     1
19880207     2.728     1
19880208     2.315     1
19880209     1.854     1
19880210     2.080     1
19880211     2.458     1
19880212     2.482     1
19880213     1.803     1
19880214     1.751     1
19880215     1.985     1
19880216     2.128     1
19880217     2.054     1
19880218     2.839     1
19880219     3.978     1
19880220     3.458     1
19880221     3.294     1
19880222     3.019     1
19880223     3.499     1
19880224    14.114     1
19880225    27.511     1
19880226   111.882     1
19880227   164.302     1
19880228    64.831     1
19880229    39.134     1
19880301    29.171     1
19880302    23.580     1
19880303    20.128     1
19880304    19.041     1
19880305    22.237     1
19880306    23.594     1
19880307    38.700     1
19880308    38.990     1
19880309    30.615     1
19880310    28.401     1
19880311    58.247     1
19880312    89.153     1
19880313    67.635     1
19880314    48.729     1
19880315    46.024     1
19880316    48.670     1
19880317    33.565     1
19880318    31.962     1
19880319    29.462     1
19880320    25.367     1
19880321    22.771     1
19880322    21.178     1
19880323    19.424     1
19880324    17.596     1
19880325    15.860     1
19880326    14.611     1
19880327    13.507     1
19880328    12.671     1
19880329    11.910     1
19880330    11.498     1
19880331    10.858     1
19880401    10.510     1
19880402    10.056     1
19880403     9.643     1
19880404     9.435     1
19880405     9.096     1
19880406     8.963     1
19880407     8.654     1
19880408     8.176     1
19880409     8.832     1
19880410     9.333     1
19880411     9.800     1
19880412    10.723     1
19880413     9.474     1
19880414     8.841     1
19880415     8.134     1
19880416     7.635     1
19880417     7.386     1
19880418     7.081     1
19880419     7.036     1
19880420     6.845     1
19880421     6.569     1
19880422     6.253     1
19880423     5.805     1
19880424     5.590     1
19880425     5.305     1
19880426     5.034     1
19880427     4.811     1
19880428     4.583     1
19880429     4.462     1
19880430     4.504     1
19880501     4.545     1
19880502     4.255     1
19880503     4.388     1
19880504     4.565     1
19880505     4.364     1
19880506     4.520     1
19880507     5.439     1
19880508     5.400     1
19880509     4.982     1
19880510     4.629     1
19880511     4.339     1
19880512     4.103     1
19880513     4.131     1
19880514     3.971     1
19880515     3.921     1
19880516     3.757     1
19880517     3.721     1
19880518     3.686     1
19880519     3.391     1
19880520     3.209     1
19880521     3.176     1
19880522     3.142     1
19880523     2.971     1
19880524     2.913     1
19880525     3.015     1
19880526     2.860     1
19880527     2.790     1
19880528     2.817     1
19880529     2.793     1
19880530     2.674     1
19880531     2.697     1
19880601     2.742     1
19880602     2.574     1
19880603     2.515     1
19880604     2.505     1
19880605     2.442     1
19880606     2.303     1
19880607     2.290     1
19880608     2.471     1
19880609     2.341     1
19880610     2.162     1
19880611     2.094     1
19880612     2.153     1
19880613     2.148     1
19880614     2.152     1
19880615     2.344     1
19880616     2.261     1
19880617     2.054     1
19880618     2.081     1
19880619     2.205     1
19880620     2.114     1
19880621     2.044     1
19880622     2.215     1
19880623     2.214     1
19880624     1.988     1
19880625     2.031     1
19880626     2.157     1
19880627     2.152     1
19880628     2.157     1
19880629    11.791     1
19880630     3.687     1
19880701     4.215     1
19880702     4.595     1
19880703     5.121     1
19880704     4.743     1
19880705     4.401     1
19880706     4.314     1
19880707     4.138     1
19880708     3.766     1
19880709     3.586     1
19880710     3.442     1
19880711     3.205     1
19880712     3.012     1
19880713     2.961     1
19880714     2.864     1
19880715     2.706     1
19880716     2.647     1
19880717     2.610     1
19880718     2.413     1
19880719     2.349     1
19880720     2.398     1
19880721     2.356     1
19880722     2.162     1
19880723     2.182     1
19880724     2.169     1
19880725     2.104     1
19880726     2.124     1
19880727     2.247     1
19880728     2.194     1
19880729     2.025     1
19880730     2.025     1
19880731     1.993     1
19880801     1.880     1
19880802     1.793     1
19880803     1.937     1
19880804     1.907     1
19880805     1.805     1
19880806     1.765     1
19880807     1.782     1
19880808     1.741     1
19880809             172
19880810     1.794     1
19880811     1.987     1
19880812     2.050     1
19880813     2.179     1
19880814     2.179     1
19880815     1.973     1
19880816     1.794     1
19880817     1.722     1
19880818     1.652     1
19880819     1.596     1
19880820     1.550     1
19880821     1.655     1
19880822     1.703     1
19880823     1.752     1
19880824     1.971     1
19880825     1.902     1
19880826     1.766     1
19880827     1.665     1
19880828     1.687     1
19880829     1.567     1
19880830     1.440     1
19880831     1.424     1
19880901     1.433     1
19880902     1.481     1
19880903     2.139     1
19880904     3.105     1
19880905     3.131     1
19880906     2.868     1
19880907     2.735     1
19880908     2.510     1
19880909     2.259     1
19880910     2.058     1
19880911     2.018     1
19880912     1.842     1
19880913     1.826     1
19880914     2.186     1
19880915     2.422     1
19880916     2.441     1
19880917     2.288     1
19880918     2.227     1
19880919     1.991     1
19880920     1.792     1
19880921     1.616     1
19880922     1.525     1
19880923     1.342     1
19880924     1.261     1
19880925     1.356     1
19880926     1.245     1
19880927     1.087     1
19880928     0.965     1
19880929     1.069     1
19880930     1.086     1
19881001     1.089     1
19881002     1.152     1
19881003     1.074     1
19881004     0.914     1
19881005     0.867     1
19881006     0.885     1
19881007     0.840     1
19881008     0.733     1
19881009     0.728     1
19881010     0.712     1
19881011     0.571     1
19881012     0.946     1
19881013     2.460     1
19881014     3.739     1
19881015     4.526     1
19881016     6.274     1
19881017     5.707     1
19881018             172
19881019     4.918     1
19881020    15.685     1
19881021    33.417     1
19881022    29.340     1
19881023    30.512     1
19881024    21.476     1
19881025    15.965     1
19881026    13.040     1
19881027    11.099     1
19881028    10.286     1
19881029     9.586     1
19881030     9.235     1
19881031    10.148     1
