lake,save_point_id,ari,scenario,precip_delta,temp_delta,fillin_twl_ft,climate_canvas_ft,diff_ft
superior,15559,1,_0_1.5,0.0,1.5,601.706,601.7178,-0.0117
superior,15559,1,_0_3,0.0,3.0,601.2139,601.2045,0.0094
superior,15559,1,_0_5,0.0,5.0,600.5249,600.5202,0.0047
superior,15559,1,_5_3,5.0,3.0,601.7388,601.7279,0.0109
superior,15559,1,_5_5,5.0,5.0,601.0171,601.0134,0.0036
superior,15559,1,_10_3,10.0,3.0,602.3294,602.32,0.0094
superior,15559,1,_15_5,15.0,5.0,602.1654,602.1654,0.0
superior,15559,10,_0_1.5,0.0,1.5,602.5591,602.5637,-0.0047
superior,15559,10,_0_3,0.0,3.0,602.0341,602.0435,-0.0094
superior,15559,10,_0_5,0.0,5.0,601.3451,601.3498,-0.0047
superior,15559,10,_5_3,5.0,3.0,602.5919,602.5864,0.0055
superior,15559,10,_5_5,5.0,5.0,601.8701,601.8792,-0.0091
superior,15559,10,_10_3,10.0,3.0,603.1824,603.173,0.0094
superior,15559,10,_15_5,15.0,5.0,603.0184,603.0348,-0.0164
superior,15559,50,_0_1.5,0.0,1.5,602.9199,602.9176,0.0023
superior,15559,50,_0_3,0.0,3.0,602.395,602.3903,0.0047
superior,15559,50,_0_5,0.0,5.0,601.6732,601.6873,-0.0141
superior,15559,50,_5_3,5.0,3.0,602.9528,602.9473,0.0055
superior,15559,50,_5_5,5.0,5.0,602.231,602.2401,-0.0091
superior,15559,50,_10_3,10.0,3.0,603.5433,603.5292,0.0141
superior,15559,50,_15_5,15.0,5.0,603.4121,603.3957,0.0164
superior,15559,100,_0_1.5,0.0,1.5,603.0512,603.0418,0.0094
superior,15559,100,_0_3,0.0,3.0,602.4934,602.5075,-0.0141
superior,15559,100,_0_5,0.0,5.0,601.8045,601.7951,0.0094
superior,15559,100,_5_3,5.0,3.0,603.084,603.0731,0.0109
superior,15559,100,_5_5,5.0,5.0,602.3622,602.3586,0.0036
superior,15559,100,_10_3,10.0,3.0,603.6417,603.6511,-0.0094
superior,15559,100,_15_5,15.0,5.0,603.5105,603.5105,-0.0
michigan,26631,1,_0_1.5,0.0,1.5,579.1339,579.1198,0.0141
michigan,26631,1,_0_3,0.0,3.0,577.6247,577.6294,-0.0047
michigan,26631,1,_0_5,0.0,5.0,575.6562,575.6421,0.0141
michigan,26631,1,_5_3,5.0,3.0,579.3307,579.3198,0.0109
michigan,26631,1,_5_5,5.0,5.0,577.3294,577.3367,-0.0073
michigan,26631,1,_10_3,10.0,3.0,581.1024,581.1164,-0.0141
michigan,26631,1,_15_5,15.0,5.0,580.9055,580.9055,-0.0
michigan,26631,10,_0_1.5,0.0,1.5,580.4462,580.4462,0.0
michigan,26631,10,_0_3,0.0,3.0,578.9698,578.9698,0.0
michigan,26631,10,_0_5,0.0,5.0,577.0013,577.0013,0.0
michigan,26631,10,_5_3,5.0,3.0,580.643,580.654,-0.0109
michigan,26631,10,_5_5,5.0,5.0,578.7073,578.7001,0.0073
michigan,26631,10,_10_3,10.0,3.0,582.4803,582.4756,0.0047
michigan,26631,10,_15_5,15.0,5.0,582.3163,582.3163,0.0
michigan,26631,50,_0_1.5,0.0,1.5,581.2664,581.2805,-0.0141
michigan,26631,50,_0_3,0.0,3.0,579.8228,579.8181,0.0047
michigan,26631,50,_0_5,0.0,5.0,577.8543,577.8684,-0.0141
michigan,26631,50,_5_3,5.0,3.0,581.4961,581.507,-0.0109
michigan,26631,50,_5_5,5.0,5.0,579.5604,579.5531,0.0073
michigan,26631,50,_10_3,10.0,3.0,583.3333,583.3333,0.0
michigan,26631,50,_15_5,15.0,5.0,583.1693,583.1693,0.0
michigan,26631,100,_0_1.5,0.0,1.5,581.4961,581.5101,-0.0141
michigan,26631,100,_0_3,0.0,3.0,580.0525,580.0478,0.0047
michigan,26631,100,_0_5,0.0,5.0,578.084,578.0981,-0.0141
michigan,26631,100,_5_3,5.0,3.0,581.7257,581.7367,-0.0109
michigan,26631,100,_5_5,5.0,5.0,579.79,579.7827,0.0073
michigan,26631,100,_10_3,10.0,3.0,583.563,583.563,0.0
michigan,26631,100,_15_5,15.0,5.0,583.399,583.399,0.0
huron,7085,1,_0_1.5,0.0,1.5,578.9042,578.9159,-0.0117
huron,7085,1,_0_3,0.0,3.0,577.4278,577.4184,0.0094
huron,7085,1,_0_5,0.0,5.0,575.4265,575.4218,0.0047
huron,7085,1,_5_3,5.0,3.0,579.101,579.0956,0.0055
huron,7085,1,_5_5,5.0,5.0,577.1325,577.1198,0.0128
huron,7085,1,_10_3,10.0,3.0,580.8727,580.8821,-0.0094
huron,7085,1,_15_5,15.0,5.0,580.6759,580.6759,0.0
huron,7085,10,_0_1.5,0.0,1.5,580.0853,580.0923,-0.007
huron,7085,10,_0_3,0.0,3.0,578.6089,578.623,-0.0141
huron,7085,10,_0_5,0.0,5.0,576.6732,576.6639,0.0094
huron,7085,10,_5_3,5.0,3.0,580.2822,580.2931,-0.0109
huron,7085,10,_5_5,5.0,5.0,578.3465,578.3392,0.0073
huron,7085,10,_10_3,10.0,3.0,582.0866,582.0913,-0.0047
