time,_0_0,_0_1.5,_0_3,_0_5,_0_7,_5_1.5,_5_3,_5_5,_5_7,_10_3,_10_5,_10_7,_15_3,_15_5,_15_7,_20_5,_20_7
1970-01-01,174.32,174.03,173.75,173.37,172.96,174.37,174.1,173.74,173.34,174.38,174.03,173.65,174.72,174.38,174.01,174.78,174.43
1970-02-01,174.43,174.14,173.87,173.5,173.1,174.49,174.23,173.88,173.49,174.51,174.18,173.8,174.86,174.53,174.17,174.94,174.6
1970-03-01,174.52,174.24,173.97,173.61,173.21,174.6,174.34,173.99,173.61,174.63,174.3,173.93,174.98,174.66,174.3,175.09,174.75
1970-04-01,174.65,174.37,174.1,173.74,173.34,174.74,174.47,174.13,173.75,174.79,174.46,174.09,175.14,174.82,174.47,175.28,174.94
1970-05-01,174.68,174.4,174.13,173.78,173.38,174.76,174.5,174.17,173.79,174.82,174.5,174.13,175.17,174.85,174.5,175.31,174.97
1970-06-01,174.6,174.32,174.06,173.71,173.32,174.67,174.42,174.08,173.71,174.73,174.4,174.04,175.06,174.75,174.4,175.18,174.85
1970-07-01,174.52,174.24,173.98,173.63,173.24,174.58,174.32,173.99,173.62,174.63,174.31,173.94,174.95,174.64,174.29,175.05,174.72
1970-08-01,174.47,174.2,173.93,173.58,173.19,174.52,174.26,173.93,173.56,174.56,174.24,173.88,174.88,174.57,174.22,174.95,174.62
1970-09-01,174.41,174.13,173.86,173.51,173.12,174.44,174.18,173.85,173.47,174.47,174.15,173.78,174.79,174.48,174.13,174.83,174.5
1970-10-01,174.28,174.0,173.73,173.37,172.97,174.31,174.05,173.71,173.33,174.33,174.0,173.63,174.65,174.33,173.98,174.66,174.33
1970-11-01,174.19,173.9,173.63,173.26,172.86,174.22,173.95,173.6,173.22,174.23,173.89,173.52,174.55,174.22,173.87,174.56,174.22
1970-12-01,174.15,173.86,173.59,173.22,172.81,174.18,173.91,173.56,173.18,174.19,173.85,173.47,174.51,174.18,173.82,174.53,174.19
1971-01-01,174.2,173.93,173.65,173.29,172.88,174.26,174.0,173.64,173.26,174.28,173.93,173.56,174.6,174.27,173.91,174.65,174.31
1971-02-01,174.28,174.0,173.73,173.37,172.96,174.35,174.09,173.74,173.35,174.38,174.04,173.66,174.71,174.38,174.02,174.78,174.44
1971-03-01,174.33,174.05,173.78,173.42,173.02,174.4,174.14,173.79,173.41,174.43,174.1,173.73,174.77,174.44,174.09,174.85,174.51
1971-04-01,174.44,174.16,173.89,173.53,173.14,174.51,174.25,173.91,173.54,174.56,174.23,173.87,174.9,174.58,174.23,175.01,174.68
1971-05-01,174.48,174.19,173.92,173.57,173.19,174.55,174.28,173.94,173.58,174.6,174.27,173.91,174.94,174.62,174.27,175.06,174.73
1971-06-01,174.4,174.12,173.85,173.5,173.13,174.46,174.2,173.87,173.51,174.51,174.18,173.83,174.84,174.52,174.18,174.94,174.61
1971-07-01,174.33,174.04,173.78,173.43,173.05,174.38,174.12,173.78,173.42,174.42,174.09,173.74,174.74,174.42,174.07,174.81,174.49
1971-08-01,174.23,173.94,173.67,173.32,172.94,174.26,174.0,173.66,173.3,174.3,173.97,173.61,174.61,174.29,173.94,174.67,174.34
1971-09-01,174.07,173.78,173.51,173.16,172.77,174.1,173.83,173.49,173.12,174.12,173.78,173.42,174.44,174.1,173.75,174.46,174.13
1971-10-01,173.95,173.65,173.38,173.02,172.63,173.97,173.7,173.35,172.98,173.98,173.64,173.27,174.3,173.96,173.61,174.3,173.97
1971-11-01,173.91,173.62,173.35,172.99,172.59,173.94,173.67,173.32,172.94,173.94,173.6,173.24,174.26,173.93,173.57,174.27,173.93
1971-12-01,174.0,173.71,173.44,173.08,172.69,174.03,173.77,173.42,173.05,174.04,173.7,173.34,174.37,174.03,173.68,174.39,174.06
1972-01-01,174.04,173.75,173.49,173.12,172.74,174.08,173.82,173.47,173.12,174.09,173.75,173.41,174.42,174.09,173.76,174.47,174.16
1972-02-01,174.08,173.81,173.53,173.16,172.78,174.15,173.89,173.53,173.16,174.17,173.82,173.47,174.51,174.17,173.83,174.56,174.25
1972-03-01,174.21,173.93,173.66,173.29,172.88,174.29,174.03,173.67,173.28,174.34,173.98,173.6,174.69,174.34,173.96,174.76,174.4
1972-04-01,174.31,174.01,173.74,173.37,172.96,174.38,174.12,173.75,173.36,174.44,174.08,173.69,174.78,174.44,174.06,174.88,174.52
1972-05-01,174.37,174.07,173.8,173.43,173.02,174.44,174.17,173.81,173.42,174.49,174.14,173.75,174.84,174.49,174.12,174.94,174.58
1972-06-01,174.35,174.05,173.78,173.41,173.02,174.41,174.14,173.79,173.41,174.45,174.1,173.73,174.79,174.45,174.08,174.88,174.53
1972-07-01,174.35,174.05,173.78,173.42,173.03,174.39,174.12,173.78,173.4,174.43,174.09,173.72,174.76,174.43,174.06,174.83,174.48
1972-08-01,174.34,174.04,173.77,173.41,173.02,174.37,174.1,173.75,173.38,174.4,174.06,173.69,174.73,174.39,174.03,174.77,174.42
1972-09-01,174.27,173.97,173.7,173.33,172.94,174.28,174.01,173.66,173.28,174.31,173.97,173.59,174.64,174.29,173.93,174.64,174.29
1972-10-01,174.18,173.88,173.6,173.24,172.84,174.19,173.92,173.57,173.18,174.21,173.86,173.49,174.54,174.19,173.83,174.51,174.16
1972-11-01,174.2,173.9,173.62,173.25,172.86,174.22,173.95,173.59,173.21,174.23,173.88,173.51,174.57,174.22,173.85,174.55,174.2
1972-12-01,174.27,173.97,173.69,173.32,172.92,174.29,174.02,173.66,173.28,174.3,173.95,173.57,174.64,174.3,173.93,174.64,174.29
1973-01-01,174.33,174.04,173.77,173.4,173.01,174.38,174.12,173.76,173.38,174.4,174.05,173.68,174.74,174.4,174.03,174.76,174.42
1973-02-01,174.35,174.08,173.83,173.47,173.08,174.43,174.19,173.84,173.46,174.47,174.13,173.76,174.82,174.49,174.13,174.87,174.53
1973-03-01,174.38,174.12,173.86,173.5,173.11,174.47,174.22,173.88,173.5,174.52,174.18,173.81,174.87,174.54,174.18,174.94,174.6
1973-04-01,174.56,174.28,174.01,173.64,173.24,174.65,174.38,174.03,173.64,174.71,174.36,173.98,175.07,174.72,174.36,175.16,174.81
1973-05-01,174.6,174.3,174.03,173.66,173.27,174.67,174.41,174.05,173.67,174.74,174.38,174.01,175.1,174.75,174.38,175.2,174.85
1973-06-01,174.54,174.24,173.97,173.6,173.21,174.59,174.32,173.97,173.59,174.65,174.3,173.93,174.99,174.65,174.29,175.07,174.72
1973-07-01,174.48,174.18,173.91,173.54,173.16,174.51,174.25,173.9,173.52,174.56,174.21,173.85,174.9,174.55,174.19,174.94,174.6
1973-08-01,174.36,174.06,173.79,173.42,173.03,174.38,174.12,173.76,173.38,174.42,174.07,173.7,174.75,174.4,174.04,174.77,174.43
1973-09-01,174.19,173.88,173.61,173.23,172.83,174.2,173.93,173.56,173.18,174.23,173.87,173.49,174.55,174.2,173.83,174.55,174.2
1973-10-01,174.04,173.73,173.45,173.06,172.66,174.05,173.77,173.4,173.0,174.06,173.69,173.31,174.39,174.03,173.65,174.36,174.0
1973-11-01,174.05,173.74,173.45,173.06,172.66,174.06,173.79,173.41,173.01,174.06,173.69,173.31,174.4,174.04,173.66,174.38,174.02
1973-12-01,174.14,173.83,173.54,173.16,172.75,174.16,173.89,173.51,173.11,174.16,173.79,173.4,174.51,174.14,173.76,174.5,174.14
1974-01-01,174.18,173.89,173.62,173.23,172.82,174.23,173.97,173.6,173.2,174.24,173.88,173.5,174.59,174.24,173.86,174.62,174.26
1974-02-01,174.2,173.92,173.65,173.27,172.85,174.26,174.0,173.64,173.24,174.28,173.93,173.54,174.63,174.29,173.91,174.68,174.32
1974-03-01,174.28,173.98,173.7,173.31,172.9,174.34,174.06,173.69,173.28,174.36,173.99,173.6,174.71,174.35,173.97,174.76,174.39
1974-04-01,174.4,174.09,173.8,173.41,172.99,174.45,174.17,173.79,173.38,174.49,174.11,173.71,174.84,174.47,174.08,174.9,174.53
1974-05-01,174.44,174.13,173.84,173.44,173.02,174.49,174.21,173.82,173.41,174.52,174.14,173.74,174.88,174.5,174.11,174.93,174.56
1974-06-01,174.47,174.16,173.87,173.47,173.06,174.51,174.23,173.84,173.44,174.54,174.16,173.76,174.88,174.5,174.12,174.92,174.54
1974-07-01,174.47,174.16,173.88,173.48,173.07,174.5,174.22,173.84,173.44,174.52,174.14,173.75,174.86,174.48,174.1,174.87,174.5
1974-08-01,174.4,174.09,173.81,173.41,173.0,174.42,174.14,173.75,173.36,174.44,174.05,173.66,174.76,174.39,174.0,174.76,174.38
1974-09-01,174.31,174.01,173.72,173.33,172.91,174.32,174.04,173.66,173.26,174.33,173.95,173.56,174.66,174.28,173.9,174.63,174.25
1974-10-01,174.22,173.91,173.62,173.22,172.81,174.22,173.94,173.55,173.15,174.22,173.84,173.44,174.55,174.17,173.78,174.5,174.12
1974-11-01,174.16,173.85,173.55,173.15,172.73,174.16,173.88,173.49,173.08,174.15,173.77,173.36,174.49,174.11,173.71,174.44,174.06
1974-12-01,174.17,173.86,173.57,173.16,172.73,174.19,173.9,173.5,173.09,174.17,173.78,173.37,174.51,174.13,173.73,174.48,174.09
1975-01-01,174.25,173.94,173.65,173.25,172.82,174.28,173.99,173.61,173.19,174.27,173.88,173.48,174.61,174.24,173.84,174.61,174.23
1975-02-01,174.28,173.97,173.69,173.29,172.86,174.32,174.04,173.65,173.24,174.32,173.94,173.53,174.67,174.3,173.9,174.68,174.3
1975-03-01,174.26,173.96,173.66,173.27,172.84,174.3,174.02,173.63,173.22,174.3,173.92,173.51,174.65,174.28,173.88,174.66,174.27
1975-04-01,174.3,173.99,173.69,173.3,172.88,174.33,174.04,173.66,173.25,174.34,173.96,173.55,174.69,174.31,173.92,174.71,174.32
1975-05-01,174.36,174.03,173.73,173.34,172.92,174.38,174.09,173.7,173.29,174.39,174.01,173.61,174.74,174.37,173.97,174.78,174.39
1975-06-01,174.35,174.03,173.72,173.33,172.92,174.37,174.08,173.69,173.29,174.38,174.0,173.6,174.72,174.35,173.96,174.75,174.37
1975-07-01,174.32,174.0,173.69,173.3,172.89,174.33,174.03,173.65,173.25,174.33,173.95,173.55,174.67,174.29,173.9,174.68,174.3
1975-08-01,174.25,173.93,173.62,173.23,172.81,174.25,173.95,173.57,173.16,174.24,173.86,173.47,174.58,174.21,173.81,174.57,174.19
1975-09-01,174.1,173.78,173.47,173.07,172.64,174.09,173.79,173.4,172.98,174.07,173.69,173.28,174.41,174.03,173.63,174.37,173.98
1975-10-01,174.01,173.68,173.37,172.97,172.54,173.99,173.69,173.3,172.88,173.97,173.59,173.18,174.3,173.93,173.52,174.25,173.87
1975-11-01,174.04,173.72,173.41,173.01,172.58,174.03,173.74,173.35,172.93,174.01,173.63,173.22,174.35,173.97,173.57,174.31,173.92
1975-12-01,174.12,173.81,173.5,173.09,172.67,174.13,173.83,173.44,173.02,174.1,173.72,173.31,174.45,174.07,173.68,174.42,174.04
1976-01-01,174.16,173.86,173.57,173.17,172.74,174.19,173.91,173.52,173.11,174.18,173.8,173.4,174.52,174.16,173.76,174.53,174.15
1976-02-01,174.17,173.89,173.6,173.21,172.78,174.23,173.95,173.57,173.16,174.23,173.86,173.46,174.58,174.22,173.83,174.6,174.23
1976-03-01,174.27,173.98,173.69,173.3,172.88,174.33,174.05,173.67,173.26,174.34,173.98,173.58,174.7,174.34,173.95,174.74,174.37
1976-04-01,174.36,174.06,173.76,173.37,172.95,174.41,174.13,173.75,173.34,174.44,174.07,173.67,174.79,174.44,174.05,174.85,174.49
1976-05-01,174.34,174.03,173.74,173.35,172.94,174.38,174.09,173.72,173.32,174.41,174.04,173.65,174.75,174.4,174.02,174.82,174.45
1976-06-01,174.27,173.95,173.66,173.28,172.87,174.29,174.01,173.64,173.24,174.31,173.95,173.56,174.65,174.3,173.92,174.7,174.33
1976-07-01,174.21,173.89,173.6,173.22,172.81,174.22,173.94,173.57,173.17,174.23,173.87,173.48,174.56,174.21,173.83,174.59,174.23
1976-08-01,174.2,173.88,173.59,173.21,172.79,174.19,173.91,173.54,173.14,174.21,173.84,173.45,174.53,174.18,173.8,174.54,174.17
1976-09-01,174.13,173.81,173.52,173.14,172.72,174.12,173.84,173.46,173.06,174.12,173.76,173.36,174.45,174.09,173.71,174.42,174.06
1976-10-01,173.98,173.66,173.36,172.97,172.54,173.96,173.67,173.29,172.88,173.96,173.58,173.18,174.28,173.92,173.53,174.23,173.86
1976-11-01,173.88,173.56,173.26,172.86,172.42,173.86,173.57,173.19,172.77,173.85,173.47,173.06,174.18,173.81,173.41,174.13,173.75
1976-12-01,173.92,173.6,173.3,172.9,172.46,173.91,173.62,173.24,172.81,173.89,173.52,173.1,174.23,173.87,173.47,174.21,173.82
1977-01-01,173.99,173.68,173.37,172.97,172.53,174.0,173.71,173.32,172.9,173.98,173.61,173.19,174.33,173.96,173.56,174.33,173.95
1977-02-01,174.03,173.72,173.41,173.01,172.57,174.05,173.76,173.38,172.95,174.04,173.66,173.25,174.39,174.03,173.62,174.4,174.02
1977-03-01,174.07,173.76,173.45,173.05,172.61,174.1,173.81,173.42,172.99,174.09,173.72,173.3,174.44,174.08,173.67,174.47,174.08
1977-04-01,174.23,173.91,173.6,173.21,172.77,174.26,173.96,173.58,173.16,174.27,173.9,173.49,174.63,174.26,173.86,174.68,174.3
