time,_0_0,_0_1.5,_0_3,_0_5,_0_7,_5_1.5,_5_3,_5_5,_5_7,_10_3,_10_5,_10_7,_15_3,_15_5,_15_7,_20_5,_20_7
1970-01-01,176.63,176.19,175.78,175.22,174.6,176.7,176.3,175.78,175.18,176.73,176.23,175.66,177.25,176.76,176.21,177.33,176.81
1970-02-01,176.63,176.19,175.78,175.24,174.61,176.71,176.32,175.8,175.21,176.75,176.25,175.68,177.26,176.78,176.24,177.36,176.85
1970-03-01,176.67,176.25,175.83,175.29,174.67,176.76,176.37,175.86,175.27,176.81,176.32,175.75,177.33,176.85,176.31,177.44,176.93
1970-04-01,176.76,176.34,175.92,175.38,174.76,176.87,176.46,175.95,175.37,176.92,176.42,175.86,177.44,176.96,176.42,177.57,177.07
1970-05-01,176.82,176.38,175.95,175.41,174.81,176.91,176.5,175.99,175.41,176.96,176.47,175.91,177.48,177.0,176.47,177.63,177.13
1970-06-01,176.82,176.38,175.95,175.41,174.8,176.91,176.5,175.98,175.41,176.96,176.46,175.91,177.47,176.99,176.46,177.61,177.12
1970-07-01,176.81,176.37,175.94,175.41,174.8,176.89,176.48,175.97,175.4,176.94,176.45,175.9,177.45,176.97,176.44,177.58,177.09
1970-08-01,176.79,176.35,175.93,175.39,174.79,176.86,176.46,175.94,175.38,176.91,176.42,175.87,177.41,176.94,176.41,177.53,177.04
1970-09-01,176.75,176.31,175.89,175.35,174.75,176.82,176.41,175.9,175.33,176.87,176.37,175.82,177.36,176.89,176.36,177.45,176.96
1970-10-01,176.69,176.26,175.84,175.31,174.7,176.76,176.36,175.84,175.28,176.81,176.31,175.76,177.31,176.82,176.3,177.37,176.88
1970-11-01,176.6,176.18,175.76,175.22,174.62,176.67,176.28,175.76,175.19,176.72,176.22,175.66,177.21,176.73,176.2,177.27,176.78
1970-12-01,176.48,176.05,175.64,175.09,174.48,176.55,176.15,175.63,175.05,176.59,176.08,175.52,177.09,176.6,176.06,177.14,176.64
1971-01-01,176.4,175.97,175.56,175.01,174.4,176.48,176.08,175.56,174.98,176.51,176.0,175.44,177.01,176.52,175.98,177.07,176.57
1971-02-01,176.38,175.95,175.53,174.99,174.39,176.46,176.06,175.54,174.97,176.5,175.99,175.43,177.0,176.51,175.97,177.08,176.58
1971-03-01,176.36,175.93,175.53,174.98,174.38,176.45,176.05,175.53,174.96,176.49,175.98,175.43,177.0,176.51,175.97,177.08,176.58
1971-04-01,176.39,175.96,175.55,175.01,174.41,176.48,176.09,175.56,174.99,176.53,176.01,175.46,177.04,176.54,176.0,177.13,176.63
1971-05-01,176.47,176.03,175.61,175.06,174.46,176.55,176.15,175.61,175.05,176.6,176.08,175.52,177.11,176.61,176.07,177.21,176.71
1971-06-01,176.53,176.08,175.65,175.1,174.51,176.6,176.19,175.65,175.09,176.65,176.12,175.57,177.16,176.65,176.11,177.25,176.75
1971-07-01,176.58,176.12,175.7,175.15,174.56,176.65,176.23,175.7,175.13,176.69,176.17,175.62,177.2,176.69,176.15,177.28,176.78
1971-08-01,176.57,176.12,175.7,175.15,174.55,176.63,176.22,175.69,175.12,176.68,176.16,175.6,177.18,176.67,176.14,177.25,176.75
1971-09-01,176.49,176.04,175.62,175.07,174.47,176.55,176.14,175.6,175.03,176.59,176.07,175.51,177.09,176.59,176.05,177.14,176.64
1971-10-01,176.4,175.96,175.54,174.98,174.38,176.45,176.05,175.51,174.94,176.5,175.97,175.41,177.0,176.49,175.95,177.03,176.52
1971-11-01,176.3,175.86,175.44,174.89,174.27,176.35,175.96,175.42,174.84,176.4,175.87,175.31,176.89,176.38,175.84,176.91,176.4
1971-12-01,176.22,175.78,175.37,174.81,174.2,176.28,175.88,175.35,174.76,176.32,175.8,175.23,176.82,176.31,175.76,176.84,176.33
1972-01-01,176.14,175.69,175.28,174.72,174.11,176.19,175.8,175.26,174.68,176.23,175.71,175.14,176.73,176.23,175.68,176.76,176.26
1972-02-01,176.1,175.65,175.23,174.67,174.06,176.16,175.76,175.22,174.63,176.19,175.66,175.09,176.7,176.19,175.64,176.74,176.23
1972-03-01,176.12,175.69,175.28,174.71,174.1,176.2,175.8,175.26,174.67,176.25,175.71,175.14,176.76,176.24,175.69,176.81,176.29
1972-04-01,176.2,175.76,175.35,174.78,174.17,176.28,175.88,175.34,174.75,176.34,175.8,175.23,176.86,176.34,175.77,176.92,176.4
1972-05-01,176.28,175.83,175.41,174.84,174.24,176.36,175.96,175.4,174.82,176.42,175.87,175.3,176.94,176.41,175.85,177.02,176.49
1972-06-01,176.31,175.84,175.41,174.84,174.23,176.37,175.96,175.4,174.81,176.42,175.87,175.3,176.94,176.4,175.84,177.01,176.48
1972-07-01,176.32,175.84,175.41,174.84,174.22,176.37,175.95,175.39,174.8,176.42,175.86,175.29,176.93,176.39,175.83,176.99,176.46
1972-08-01,176.31,175.84,175.41,174.83,174.22,176.36,175.94,175.38,174.79,176.4,175.85,175.28,176.91,176.38,175.82,176.96,176.43
1972-09-01,176.31,175.84,175.41,174.84,174.22,176.35,175.94,175.37,174.78,176.4,175.85,175.27,176.91,176.37,175.81,176.93,176.4
1972-10-01,176.33,175.86,175.44,174.86,174.24,176.37,175.96,175.4,174.8,176.41,175.86,175.29,176.93,176.39,175.83,176.92,176.39
1972-11-01,176.35,175.9,175.47,174.9,174.28,176.4,176.0,175.44,174.84,176.44,175.9,175.32,176.97,176.44,175.87,176.95,176.42
1972-12-01,176.34,175.89,175.47,174.89,174.27,176.4,175.99,175.44,174.84,176.44,175.89,175.31,176.96,176.44,175.87,176.96,176.43
1973-01-01,176.31,175.86,175.43,174.86,174.24,176.37,175.97,175.41,174.81,176.41,175.86,175.28,176.94,176.41,175.84,176.94,176.41
1973-02-01,176.29,175.84,175.42,174.84,174.22,176.36,175.95,175.4,174.8,176.39,175.85,175.26,176.93,176.4,175.83,176.94,176.4
1973-03-01,176.26,175.82,175.4,174.82,174.2,176.34,175.94,175.37,174.78,176.38,175.82,175.24,176.91,176.37,175.8,176.92,176.38
1973-04-01,176.31,175.87,175.45,174.87,174.25,176.39,175.99,175.42,174.83,176.44,175.88,175.3,176.98,176.44,175.86,177.0,176.46
1973-05-01,176.41,175.95,175.53,174.94,174.33,176.49,176.08,175.5,174.91,176.54,175.97,175.39,177.08,176.53,175.95,177.12,176.58
1973-06-01,176.51,176.05,175.61,175.02,174.41,176.58,176.16,175.59,174.99,176.63,176.06,175.48,177.17,176.62,176.04,177.21,176.66
1973-07-01,176.59,176.11,175.68,175.09,174.47,176.64,176.22,175.65,175.05,176.69,176.12,175.54,177.22,176.67,176.1,177.25,176.71
1973-08-01,176.6,176.13,175.69,175.1,174.48,176.65,176.23,175.66,175.06,176.69,176.13,175.55,177.22,176.67,176.1,177.24,176.7
1973-09-01,176.56,176.09,175.65,175.06,174.43,176.6,176.18,175.61,175.0,176.64,176.08,175.49,177.16,176.62,176.05,177.16,176.62
1973-10-01,176.48,176.01,175.57,174.98,174.35,176.51,176.1,175.53,174.92,176.55,175.99,175.4,177.07,176.53,175.95,177.05,176.51
1973-11-01,176.41,175.94,175.51,174.92,174.28,176.44,176.03,175.46,174.85,176.47,175.92,175.32,177.0,176.46,175.88,176.97,176.43
1973-12-01,176.32,175.85,175.42,174.83,174.18,176.35,175.94,175.38,174.75,176.38,175.83,175.22,176.91,176.37,175.79,176.89,176.34
1974-01-01,176.25,175.78,175.34,174.73,174.08,176.28,175.86,175.28,174.66,176.3,175.73,175.12,176.83,176.28,175.69,176.81,176.26
