time,_0_0,_0_1.5,_0_3,_0_5,_0_7,_5_1.5,_5_3,_5_5,_5_7,_10_3,_10_5,_10_7,_15_3,_15_5,_15_7,_20_5,_20_7
1970-01-01,74.59,74.6,74.19,73.66,73.37,74.56,74.68,74.23,73.69,74.57,74.68,74.14,74.77,74.6,74.66,74.86,74.63
1970-02-01,74.74,74.76,74.4,73.88,73.54,74.76,74.83,74.48,73.95,74.78,74.85,74.4,75.04,74.76,74.86,75.1,74.82
1970-03-01,74.9,74.92,74.6,74.12,73.7,74.93,74.98,74.68,74.22,74.93,75.01,74.63,75.24,74.93,75.03,75.36,75.0
1970-04-01,75.07,75.07,74.78,74.36,73.9,75.08,75.12,74.87,74.5,75.09,75.17,74.85,75.46,75.09,75.2,75.61,75.22
1970-05-01,75.1,75.11,74.85,74.41,73.92,75.1,75.14,74.93,74.55,75.12,75.19,74.92,75.46,75.11,75.21,75.62,75.24
1970-06-01,75.05,75.05,74.82,74.34,73.82,75.03,75.08,74.87,74.48,75.04,75.12,74.87,75.33,75.03,75.14,75.49,75.13
1970-07-01,74.96,74.97,74.76,74.22,73.68,74.92,74.99,74.8,74.35,74.93,75.03,74.8,75.19,74.91,75.03,75.31,74.98
1970-08-01,74.87,74.88,74.69,74.08,73.53,74.81,74.9,74.72,74.18,74.82,74.92,74.7,75.06,74.79,74.91,75.17,74.82
1970-09-01,74.83,74.84,74.65,74.01,73.51,74.76,74.85,74.67,74.08,74.76,74.87,74.64,74.99,74.73,74.85,75.07,74.7
1970-10-01,74.78,74.79,74.62,73.96,73.47,74.69,74.78,74.62,74.0,74.69,74.78,74.58,74.91,74.66,74.77,74.96,74.58
1970-11-01,74.69,74.72,74.56,73.9,73.42,74.62,74.72,74.55,73.93,74.6,74.69,74.48,74.82,74.56,74.68,74.86,74.5
1970-12-01,74.59,74.64,74.42,73.75,73.34,74.53,74.64,74.4,73.77,74.5,74.6,74.31,74.72,74.47,74.58,74.77,74.45
1971-01-01,74.54,74.61,74.36,73.69,73.34,74.5,74.63,74.39,73.75,74.5,74.61,74.29,74.7,74.51,74.61,74.8,74.53
1971-02-01,74.6,74.68,74.42,73.76,73.41,74.63,74.72,74.48,73.87,74.64,74.71,74.4,74.94,74.65,74.72,75.06,74.64
1971-03-01,74.73,74.76,74.5,73.84,73.46,74.76,74.82,74.55,74.02,74.76,74.8,74.47,75.1,74.73,74.8,75.13,74.73
1971-04-01,74.83,74.83,74.58,73.95,73.53,74.84,74.9,74.62,74.13,74.84,74.88,74.59,75.2,74.82,74.89,75.25,74.84
1971-05-01,74.91,74.88,74.7,74.06,73.55,74.92,74.94,74.71,74.18,74.9,74.93,74.71,75.24,74.88,74.94,75.32,74.92
1971-06-01,74.93,74.86,74.71,74.02,73.49,74.91,74.92,74.72,74.1,74.9,74.91,74.7,75.16,74.86,74.91,75.23,74.89
1971-07-01,74.86,74.78,74.6,73.89,73.42,74.83,74.83,74.59,73.94,74.82,74.82,74.57,75.01,74.78,74.82,75.09,74.79
1971-08-01,74.76,74.66,74.42,73.69,73.32,74.71,74.71,74.4,73.74,74.7,74.69,74.37,74.82,74.67,74.68,74.89,74.67
1971-09-01,74.64,74.51,74.18,73.52,73.19,74.59,74.55,74.15,73.53,74.58,74.53,74.12,74.63,74.56,74.52,74.67,74.55
1971-10-01,74.57,74.34,74.0,73.47,73.12,74.51,74.4,73.96,73.46,74.49,74.36,73.92,74.51,74.48,74.35,74.52,74.45
1971-11-01,74.56,74.24,73.91,73.47,73.1,74.49,74.32,73.87,73.46,74.48,74.24,73.79,74.48,74.46,74.24,74.5,74.43
1971-12-01,74.59,74.26,73.95,73.52,73.12,74.55,74.37,73.91,73.51,74.53,74.26,73.8,74.52,74.53,74.27,74.55,74.5
1972-01-01,74.56,74.23,73.93,73.49,73.09,74.53,74.36,73.91,73.5,74.51,74.26,73.8,74.48,74.53,74.3,74.53,74.54
1972-02-01,74.58,74.28,73.98,73.51,73.09,74.6,74.43,73.98,73.54,74.6,74.34,73.86,74.6,74.62,74.38,74.68,74.65
1972-03-01,74.73,74.5,74.18,73.65,73.21,74.83,74.65,74.23,73.74,74.85,74.59,74.16,74.88,74.86,74.62,74.96,74.9
1972-04-01,75.02,74.78,74.49,73.91,73.44,75.11,74.91,74.55,74.04,75.15,74.9,74.54,75.18,75.16,74.93,75.3,75.23
1972-05-01,75.3,75.05,74.9,74.26,73.71,75.36,75.16,74.85,74.36,75.41,75.18,74.9,75.5,75.41,75.21,75.62,75.5
1972-06-01,75.37,75.14,74.98,74.3,73.71,75.41,75.21,74.92,74.39,75.44,75.24,74.96,75.49,75.43,75.25,75.57,75.49
1972-07-01,75.32,75.11,74.94,74.17,73.58,75.32,75.15,74.88,74.25,75.34,75.16,74.9,75.35,75.32,75.16,75.4,75.34
1972-08-01,75.24,75.06,74.89,74.09,73.55,75.22,75.07,74.83,74.13,75.24,75.08,74.84,75.21,75.22,75.08,75.24,75.18
1972-09-01,75.1,74.95,74.8,74.02,73.49,75.07,74.96,74.75,74.01,75.07,74.96,74.74,75.07,75.05,74.95,75.08,74.97
1972-10-01,74.92,74.82,74.71,73.9,73.41,74.88,74.83,74.64,73.87,74.86,74.82,74.6,74.93,74.85,74.8,74.91,74.76
1972-11-01,74.86,74.81,74.7,73.9,73.43,74.84,74.83,74.64,73.85,74.81,74.81,74.55,74.9,74.81,74.8,74.88,74.71
1972-12-01,74.8,74.79,74.71,73.98,73.46,74.79,74.81,74.68,73.92,74.78,74.8,74.58,74.9,74.79,74.8,74.92,74.72
1973-01-01,74.8,74.81,74.73,74.03,73.5,74.81,74.83,74.72,74.02,74.8,74.84,74.63,74.94,74.82,74.84,74.98,74.77
1973-02-01,74.82,74.8,74.7,74.07,73.54,74.88,74.84,74.73,74.09,74.9,74.87,74.68,75.14,74.92,74.89,75.22,74.9
1973-03-01,74.83,74.82,74.72,74.14,73.57,74.98,74.89,74.77,74.16,75.05,74.93,74.73,75.41,75.08,74.97,75.45,75.08
1973-04-01,75.04,75.01,74.87,74.45,73.82,75.22,75.09,74.91,74.49,75.34,75.11,74.89,75.69,75.3,75.15,75.67,75.34
1973-05-01,75.19,75.14,74.94,74.75,74.02,75.4,75.22,74.96,74.79,75.5,75.22,74.95,75.9,75.45,75.24,75.9,75.51
1973-06-01,75.17,75.12,74.91,74.71,73.93,75.32,75.18,74.92,74.75,75.39,75.18,74.9,75.76,75.32,75.19,75.77,75.38
