time,_0_0,_0_1.5,_0_3,_0_5,_0_7,_5_1.5,_5_3,_5_5,_5_7,_10_3,_10_5,_10_7,_15_3,_15_5,_15_7,_20_5,_20_7
1970-01-01,175.25,174.91,174.59,174.15,173.66,175.31,175.01,174.59,174.13,175.35,174.95,174.5,175.75,175.36,174.93,175.83,175.42
1970-02-01,175.29,174.95,174.63,174.2,173.71,175.36,175.05,174.64,174.18,175.39,175.0,174.56,175.79,175.41,174.99,175.88,175.48
1970-03-01,175.39,175.06,174.74,174.31,173.83,175.47,175.17,174.77,174.31,175.52,175.14,174.7,175.92,175.55,175.13,176.04,175.65
1970-04-01,175.45,175.12,174.79,174.37,173.88,175.54,175.23,174.83,174.37,175.59,175.21,174.77,176.0,175.62,175.21,176.13,175.74
1970-05-01,175.47,175.14,174.81,174.39,173.91,175.55,175.24,174.84,174.39,175.61,175.22,174.79,176.01,175.64,175.23,176.15,175.76
1970-06-01,175.42,175.09,174.76,174.35,173.87,175.5,175.19,174.79,174.35,175.55,175.17,174.74,175.94,175.57,175.16,176.06,175.68
1970-07-01,175.37,175.04,174.72,174.3,173.82,175.44,175.13,174.73,174.29,175.49,175.1,174.68,175.87,175.5,175.1,175.97,175.59
1970-08-01,175.35,175.01,174.69,174.27,173.8,175.4,175.09,174.7,174.25,175.44,175.06,174.63,175.82,175.46,175.05,175.91,175.53
1970-09-01,175.3,174.97,174.65,174.22,173.75,175.35,175.04,174.64,174.19,175.39,175.0,174.57,175.76,175.4,174.99,175.82,175.44
1970-10-01,175.21,174.88,174.55,174.13,173.65,175.26,174.95,174.54,174.09,175.29,174.9,174.47,175.67,175.29,174.88,175.7,175.32
1970-11-01,175.14,174.81,174.48,174.05,173.57,175.19,174.88,174.47,174.01,175.21,174.82,174.38,175.59,175.22,174.8,175.63,175.24
1970-12-01,175.08,174.75,174.42,173.99,173.5,175.13,174.82,174.41,173.95,175.15,174.75,174.31,175.54,175.15,174.73,175.58,175.18
1971-01-01,175.08,174.78,174.46,174.03,173.54,175.17,174.87,174.46,174.01,175.21,174.81,174.38,175.6,175.22,174.8,175.66,175.27
1971-02-01,175.1,174.75,174.43,174.0,173.51,175.16,174.85,174.44,173.98,175.19,174.79,174.35,175.59,175.2,174.78,175.66,175.26
1971-03-01,175.11,174.77,174.45,174.02,173.54,175.18,174.87,174.46,174.01,175.22,174.82,174.38,175.62,175.23,174.81,175.69,175.3
1971-04-01,175.2,174.86,174.53,174.1,173.63,175.28,174.96,174.55,174.1,175.33,174.92,174.49,175.73,175.34,174.91,175.82,175.43
1971-05-01,175.22,174.88,174.56,174.13,173.66,175.3,174.98,174.57,174.13,175.35,174.95,174.52,175.75,175.36,174.94,175.85,175.46
1971-06-01,175.19,174.85,174.52,174.1,173.63,175.26,174.94,174.53,174.09,175.3,174.9,174.48,175.69,175.31,174.89,175.78,175.4
1971-07-01,175.17,174.82,174.5,174.07,173.61,175.22,174.91,174.5,174.06,175.27,174.87,174.44,175.65,175.26,174.85,175.72,175.34
1971-08-01,175.12,174.77,174.45,174.02,173.55,175.16,174.85,174.44,174.0,175.2,174.8,174.37,175.58,175.19,174.78,175.64,175.25
1971-09-01,175.01,174.67,174.34,173.91,173.44,175.05,174.73,174.32,173.87,175.08,174.68,174.25,175.46,175.07,174.65,175.49,175.11
1971-10-01,174.93,174.58,174.26,173.82,173.34,174.97,174.65,174.23,173.78,174.99,174.58,174.15,175.37,174.98,174.56,175.39,175.0
1971-11-01,174.88,174.53,174.21,173.77,173.29,174.91,174.6,174.18,173.73,174.94,174.53,174.09,175.32,174.93,174.5,175.33,174.94
1971-12-01,174.93,174.6,174.29,173.85,173.38,174.98,174.69,174.27,173.82,175.02,174.61,174.18,175.41,175.02,174.6,175.44,175.05
1972-01-01,174.84,174.51,174.19,173.77,173.33,174.9,174.59,174.19,173.78,174.92,174.54,174.15,175.31,174.94,174.57,175.37,175.04
1972-02-01,174.91,174.61,174.28,173.83,173.32,175.02,174.71,174.27,173.79,175.05,174.63,174.16,175.45,175.04,174.59,175.5,175.08
1972-03-01,175.02,174.65,174.32,173.87,173.38,175.07,174.75,174.32,173.85,175.11,174.69,174.23,175.51,175.11,174.66,175.58,175.17
1972-04-01,175.07,174.72,174.39,173.94,173.45,175.15,174.83,174.39,173.92,175.2,174.77,174.31,175.61,175.19,174.75,175.69,175.27
1972-05-01,175.1,174.75,174.42,173.97,173.49,175.17,174.85,174.42,173.96,175.22,174.8,174.35,175.63,175.22,174.78,175.72,175.3
1972-06-01,175.08,174.72,174.39,173.94,173.46,175.14,174.82,174.39,173.93,175.18,174.76,174.31,175.58,175.17,174.74,175.66,175.25
1972-07-01,175.08,174.72,174.39,173.94,173.46,175.12,174.8,174.37,173.91,175.17,174.74,174.3,175.56,175.15,174.72,175.62,175.21
1972-08-01,175.08,174.72,174.39,173.94,173.46,175.11,174.79,174.36,173.9,175.15,174.73,174.28,175.54,175.13,174.7,175.57,175.17
1972-09-01,175.06,174.71,174.37,173.93,173.45,175.09,174.77,174.34,173.88,175.12,174.7,174.26,175.51,175.1,174.67,175.52,175.11
1972-10-01,175.06,174.7,174.37,173.92,173.44,175.08,174.76,174.34,173.88,175.11,174.69,174.25,175.5,175.1,174.66,175.49,175.08
1972-11-01,175.1,174.75,174.42,173.97,173.49,175.14,174.82,174.39,173.93,175.16,174.75,174.3,175.56,175.16,174.72,175.56,175.15
1972-12-01,175.08,174.73,174.4,173.95,173.46,175.12,174.81,174.38,173.91,175.14,174.72,174.27,175.55,175.14,174.7,175.55,175.14
